"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"59","Ciência da Computação","Sim","Bolsista","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo","Não bebo. Não gosto de álcool, do sabor e sintomas motivados pelo álcool me ""repulsam"", pela falta de uma palavra melhor."
"60","Química","Não","Não realizo","Sim","","Casa, Bares, Festas Universitárias","Ressaca","Zero a uma vez","Não","20 a 50 reais","",""
"61","Ciência da Computação","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito","Uma a duas vezes","Sim","20 a 50 reais","Sim, e consegui","Varios fatores, como socializar, o proprio gosto das bebidas etc"
"62","Estatística","Sim","Estágio","Sim","","Casa","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","",""
"63","Ciência da Computação","Não","Não realizo","Não","Sim","Outros ambientes","Não bebo","Nenhuma vez","Nunca tive","0 a 20 reais","Não bebo","Amigos"
"64","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias","Amnésia alcóolica","Uma a duas vezes","Não","50 a 100 reais","Sim, e consegui",""
"65","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Mais de duas vezes","Sim","Mais de 100 reais","Sim, e consegui",""
"66","Química","Sim","Estágio","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica, Desmaio","Zero a uma vez","Sim","0 a 20 reais","Sim, e consegui",""
"67","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Bares, Outros ambientes","Ressaca, Vômito","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","socialmente"
"68","Informática","Não","Não realizo","Sim","","Casa, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","Sim, e consegui","a ocasião "
"69","Ciência da Computação","Não","Não realizo","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"70","Matemática","Sim","Estágio","Sim","","Bares, Festas Universitárias","Ressaca, Amnésia alcóolica, Desmaio","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","Bebo apenas em festas e bares."
"71","Matemática","Sim","Bolsista","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
